covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Age,-0.2237648320622763,0.7995031297654845,0.1934617194826598,-0.6029428346354804,0.15541317051092782,0.5471989483035772,1.1681405026206015,0.0,-1.1566362206469099,0.24742101741534867,2.014960038255353
Stage_num,-0.06396336262806286,0.9380393661983245,0.1735121113356812,-0.40404085172750204,0.27611412647137634,0.6676168474103144,1.3179982739365486,0.0,-0.36863918106741045,0.712396687002565,0.4892472876787174
Node_positive,0.24335913950257854,1.2755266338696531,0.3355343968686312,-0.41427619393430765,0.9009944729394648,0.6608184120218776,2.4620503365408415,0.0,0.7252882022639807,0.4682752419080124,1.0945713312914382
Tumour_size,0.019597003084081747,1.0197902848656537,0.17010127401322922,-0.31379536770622657,0.35298937387439006,0.7306685312398598,1.4233160190184444,0.0,0.1152078560126342,0.908280371944193,0.13879039122908896
Sub_Basal,0.5953687139982887,1.813699558104832,0.7230465898213159,-0.8217765611959956,2.012513989192573,0.4396498953462234,7.48210365085879,0.0,0.8234168065787023,0.41027100889176493,1.285350882664723
Sub_HER2,0.7147949986195392,2.0437676641178903,0.6497414568175219,-0.5586748560053905,1.9882648532444689,0.5719664998544892,7.302851243834283,0.0,1.10012219648205,0.2712788839317146,1.8821513407899297
Sub_LumB,0.30018814321904597,1.3501127982498802,0.5097229459147522,-0.6988504728675262,1.2992267593056182,0.49715647029450616,3.6664605147717912,0.0,0.5889241314815176,0.55591216899688,0.8470711316546042
Sub_Normal,0.47288226209343315,1.6046124481435857,0.6658446341453405,-0.8321492401306827,1.777913764317549,0.43511311808195746,5.917498236061842,0.0,0.7101991032794183,0.47758067686824923,1.0661836292023779
Proliferation_score,0.3114521707219199,1.3654064784558892,0.305790699097653,-0.28788658631680475,0.9107909277606445,0.7498466302848834,2.486288230302523,0.0,1.0185142047844264,0.30843365375459364,1.69696790597696
ER_pathway_score,-0.3442719114336381,0.7087361883735857,0.3117919775728239,-0.9553729581448932,0.266829135277617,0.38466865248934395,1.3058173091560499,0.0,-1.1041718074777214,0.2695186167362238,1.8915431657114306
